code,provider,english_name,polish_name
AR,deepl,Arabic,arabski
BG,deepl,Bulgarian,bułgarski
ZH,deepl,Chinese,chiński
CS,deepl,Czech,czeski
DA,deepl,Danish,duński
NL,deepl,Dutch,holenderski
EN,deepl,English,angielski
ET,deepl,Estonian,estoński
FI,deepl,Finnish,fiński
FR,deepl,French,francuski
DE,deepl,German,niemiecki
EL,deepl,Greek,grecki
HE,deepl,Hebrew,hebrajski
HU,deepl,Hungarian,węgierski
ID,deepl,Indonesian,indonezyjski
IT,deepl,Italian,włoski
JA,deepl,Japanese,japoński
KO,deepl,Korean,koreański
LV,deepl,Latvian,łotewski
LT,deepl,Lithuanian,litewski
NB,deepl,Norwegian Bokmål,norweski (bokmål)
PL,deepl,Polish,polski
PT,deepl,Portuguese,portugalski
RO,deepl,Romanian,rumuński
RU,deepl,Russian,rosyjski
SK,deepl,Slovak,słowacki
SL,deepl,Slovenian,słoweński
ES,deepl,Spanish,hiszpański
SV,deepl,Swedish,szwedzki
TH,deepl,Thai,tajski
TR,deepl,Turkish,turecki
UK,deepl,Ukrainian,ukraiński
VI,deepl,Vietnamese,wietnamski
ZH-HANS,deepl,Chinese (Simplified),chiński (uproszczony)
ZH-HANT,deepl,Chinese (Traditional),chiński (tradycyjny)
EN-US,deepl,English (American),angielski (amerykański)
EN-GB,deepl,English (British),angielski (brytyjski)
PT-BR,deepl,Portuguese (Brazilian),portugalski (brazylijski)
PT-PT,deepl,Portuguese (European),portugalski (europejski)
af,google,Afrikaans,afrikaans
sq,google,Albanian,albański
ar,google,Arabic,arabski
hy,google,Armenian,ormiański
az,google,Azerbaijani,azerbejdżański
eu,google,Basque,baskijski
be,google,Belarusian,białoruski
bs,google,Bosnian,bośniacki
br,google,Breton,bretoński
bg,google,Bulgarian,bułgarski
ca,google,Catalan,kataloński
zh-CN,google,Chinese (Simplified),chiński (uproszczony)
zh-TW,google,Chinese (Traditional),chiński (tradycyjny)
hr,google,Croatian,chorwacki
cs,google,Czech,czeski
da,google,Danish,duński
nl,google,Dutch,holenderski
en,google,English,angielski
et,google,Estonian,estoński
fi,google,Finnish,fiński
fr,google,French,francuski
ka,google,Georgian,gruziński
de,google,German,niemiecki
el,google,Greek,grecki
he,google,Hebrew,hebrajski
hu,google,Hungarian,węgierski
is,google,Icelandic,islandzki
id,google,Indonesian,indonezyjski
ga,google,Irish,irlandzki
it,google,Italian,włoski
ja,google,Japanese,japoński
ko,google,Korean,koreański
lv,google,Latvian,łotewski
lt,google,Lithuanian,litewski
lb,google,Luxembourgish,luksemburski
mk,google,Macedonian,macedoński
no,google,Norwegian,norweski
fa,google,Persian,perski
pl,google,Polish,polski
pt-BR,google,Portuguese (Brazil),portugalski (brazylijski)
pt-PT,google,Portuguese (Portugal),portugalski (portugalski)
pt,google,Portuguese,portugalski
ro,google,Romanian,rumuński
ru,google,Russian,rosyjski
gd,google,Scots Gaelic,szkocki gaelicki
sr,google,Serbian,serbski
sk,google,Slovak,słowacki
sl,google,Slovenian,słoweński
es,google,Spanish,hiszpański
sw,google,Swahili,suahili
sv,google,Swedish,szwedzki
th,google,Thai,tajski
tr,google,Turkish,turecki
uk,google,Ukrainian,ukraiński
vi,google,Vietnamese,wietnamski
cy,google,Welsh,walijski
ar,gemini,Arabic,arabski
bg,gemini,Bulgarian,bułgarski
zh-CN,gemini,Chinese (Simplified),chiński (uproszczony)
zh-TW,gemini,Chinese (Traditional),chiński (tradycyjny)
hr,gemini,Croatian,chorwacki
cs,gemini,Czech,czeski
da,gemini,Danish,duński
nl,gemini,Dutch,holenderski
en,gemini,English,angielski
et,gemini,Estonian,estoński
fi,gemini,Finnish,fiński
fr,gemini,French,francuski
de,gemini,German,niemiecki
el,gemini,Greek,grecki
he,gemini,Hebrew,hebrajski
hi,gemini,Hindi,hindi
hu,gemini,Hungarian,węgierski
is,gemini,Icelandic,islandzki
id,gemini,Indonesian,indonezyjski
it,gemini,Italian,włoski
ja,gemini,Japanese,japoński
ko,gemini,Korean,koreański
lv,gemini,Latvian,łotewski
lt,gemini,Lithuanian,litewski
no,gemini,Norwegian,norweski
fa,gemini,Persian,perski
pl,gemini,Polish,polski
pt-BR,gemini,Portuguese (Brazil),portugalski (brazylijski)
pt-PT,gemini,Portuguese (Portugal),portugalski (portugalski)
ro,gemini,Romanian,rumuński
ru,gemini,Russian,rosyjski
sr,gemini,Serbian,serbski
sk,gemini,Slovak,słowacki
sl,gemini,Slovenian,słoweński
es,gemini,Spanish,hiszpański
sw,gemini,Swahili,suahili
sv,gemini,Swedish,szwedzki
th,gemini,Thai,tajski
tr,gemini,Turkish,turecki
uk,gemini,Ukrainian,ukraiński
vi,gemini,Vietnamese,wietnamski
ar,openai,Arabic,arabski
bg,openai,Bulgarian,bułgarski
zh-CN,openai,Chinese (Simplified),chiński (uproszczony)
zh-TW,openai,Chinese (Traditional),chiński (tradycyjny)
hr,openai,Croatian,chorwacki
cs,openai,Czech,czeski
da,openai,Danish,duński
nl,openai,Dutch,holenderski
en,openai,English,angielski
et,openai,Estonian,estoński
fi,openai,Finnish,fiński
fr,openai,French,francuski
de,openai,German,niemiecki
el,openai,Greek,grecki
he,openai,Hebrew,hebrajski
hi,openai,Hindi,hindi
hu,openai,Hungarian,węgierski
is,openai,Icelandic,islandzki
id,openai,Indonesian,indonezyjski
it,openai,Italian,włoski
ja,openai,Japanese,japoński
ko,openai,Korean,koreański
lv,openai,Latvian,łotewski
lt,openai,Lithuanian,litewski
no,openai,Norwegian,norweski
fa,openai,Persian,perski
pl,openai,Polish,polski
pt-BR,openai,Portuguese (Brazil),portugalski (brazylijski)
pt-PT,openai,Portuguese (Portugal),portugalski (portugalski)
ro,openai,Romanian,rumuński
ru,openai,Russian,rosyjski
sr,openai,Serbian,serbski
sk,openai,Slovak,słowacki
sl,openai,Slovenian,słoweński
es,openai,Spanish,hiszpański
sw,openai,Swahili,suahili
sv,openai,Swedish,szwedzki
th,openai,Thai,tajski
tr,openai,Turkish,turecki
uk,openai,Ukrainian,ukraiński
vi,openai,Vietnamese,wietnamski
Albanian,marianmt,Albanian,albański
Arabic,marianmt,Arabic,arabski
Belarusian,marianmt,Belarusian,białoruski
Bulgarian,marianmt,Bulgarian,bułgarski
Catalan,marianmt,Catalan,kataloński
Chinese,marianmt,Chinese,chiński
Croatian,marianmt,Croatian,chorwacki
Czech,marianmt,Czech,czeski
Danish,marianmt,Danish,duński
Dutch,marianmt,Dutch,holenderski
English,marianmt,English,angielski
Estonian,marianmt,Estonian,estoński
Finnish,marianmt,Finnish,fiński
French,marianmt,French,francuski
German,marianmt,German,niemiecki
Greek,marianmt,Greek,grecki
Hebrew,marianmt,Hebrew,hebrajski
Hindi,marianmt,Hindi,hindi
Hungarian,marianmt,Hungarian,węgierski
Icelandic,marianmt,Icelandic,islandzki
Indonesian,marianmt,Indonesian,indonezyjski
Irish,marianmt,Irish,irlandzki
Italian,marianmt,Italian,włoski
Japanese,marianmt,Japanese,japoński
Korean,marianmt,Korean,koreański
Latvian,marianmt,Latvian,łotewski
Lithuanian,marianmt,Lithuanian,litewski
Macedonian,marianmt,Macedonian,macedoński
Maltese,marianmt,Maltese,maltański
Norwegian,marianmt,Norwegian,norweski
Persian,marianmt,Persian,perski
Polish,marianmt,Polish,polski
Portuguese,marianmt,Portuguese,portugalski
Romanian,marianmt,Romanian,rumuński
Russian,marianmt,Russian,rosyjski
Slovak,marianmt,Slovak,słowacki
Slovenian,marianmt,Slovenian,słoweński
Spanish,marianmt,Spanish,hiszpański
Swahili,marianmt,Swahili,suahili
Swedish,marianmt,Swedish,szwedzki
Thai,marianmt,Thai,tajski
Turkish,marianmt,Turkish,turecki
Ukrainian,marianmt,Ukrainian,ukraiński
Vietnamese,marianmt,Vietnamese,wietnamski
Welsh,marianmt,Welsh,walijski
ACE,deepl,Acehnese (beta),acziński (beta)
AF,deepl,Afrikaans (beta),afrikaans (beta)
AN,deepl,Aragonese (beta),aragoński (beta)
AS,deepl,Assamese (beta),asamski (beta)
AY,deepl,Aymara (beta),ajmara (beta)
AZ,deepl,Azerbaijani (beta),azerbejdżański (beta)
BA,deepl,Bashkir (beta),baszkirski (beta)
BE,deepl,Belarusian (beta),białoruski (beta)
BHO,deepl,Bhojpuri (beta),bhodźpuri (beta)
BN,deepl,Bengali (beta),bengalski (beta)
BR,deepl,Breton (beta),bretoński (beta)
BS,deepl,Bosnian (beta),bośniacki (beta)
CA,deepl,Catalan (beta),kataloński (beta)
CEB,deepl,Cebuano (beta),cebuano (beta)
CKB,deepl,Kurdish (Sorani) (beta),kurdyjski (sorani) (beta)
CY,deepl,Welsh (beta),walijski (beta)
EO,deepl,Esperanto (beta),esperanto (beta)
EU,deepl,Basque (beta),baskijski (beta)
FA,deepl,Persian (beta),perski (beta)
GA,deepl,Irish (beta),irlandzki (beta)
GL,deepl,Galician (beta),galicyjski (beta)
GN,deepl,Guarani (beta),guarani (beta)
GOM,deepl,Goan Konkani (beta),konkani (goa) (beta)
GU,deepl,Gujarati (beta),gudźarati (beta)
HA,deepl,Hausa (beta),hausa (beta)
HI,deepl,Hindi (beta),hindi (beta)
HR,deepl,Croatian (beta),chorwacki (beta)
HT,deepl,Haitian Creole (beta),haitański (beta)
HY,deepl,Armenian (beta),ormiański (beta)
IG,deepl,Igbo (beta),igbo (beta)
IS,deepl,Icelandic (beta),islandzki (beta)
JV,deepl,Javanese (beta),jawajski (beta)
KA,deepl,Georgian (beta),gruziński (beta)
KK,deepl,Kazakh (beta),kazachski (beta)
KMR,deepl,Kurdish (Kurmanji) (beta),kurdyjski (kurmandżi) (beta)
KY,deepl,Kyrgyz (beta),kirgiski (beta)
LA,deepl,Latin (beta),łacina (beta)
LB,deepl,Luxembourgish (beta),luksemburski (beta)
